"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2024","4.276","4.386","4.472","4.240","9.18M","-2.50%"
"08/14/2024","4.386","4.549","4.550","4.358","10.08M","-3.44%"
"08/13/2024","4.542","4.589","4.610","4.406","17.15M","-1.04%"
"08/12/2024","4.589","4.495","4.672","4.458","25.70M","2.12%"
"08/11/2024","4.494","4.753","4.821","4.475","8.33M","-5.44%"
"08/10/2024","4.753","4.785","4.822","4.726","2.75M","-0.66%"
"08/09/2024","4.784","4.877","4.919","4.742","6.36M","-1.91%"
"08/08/2024","4.877","4.574","4.898","4.493","11.31M","6.64%"
"08/07/2024","4.574","4.506","4.636","4.411","12.44M","1.53%"
"08/06/2024","4.505","4.200","4.601","4.196","12.98M","7.24%"
"08/05/2024","4.200","4.691","4.711","3.654","50.61M","-10.39%"
"08/04/2024","4.687","5.046","5.088","4.555","11.77M","-7.12%"
"08/03/2024","5.046","5.122","5.203","4.868","7.52M","-1.48%"
"08/02/2024","5.122","5.345","5.365","5.007","9.03M","-4.17%"
"08/01/2024","5.345","5.388","5.417","5.058","11.32M","-0.80%"
"07/31/2024","5.388","5.519","5.554","5.341","7.23M","-2.37%"
"07/30/2024","5.519","5.651","5.719","5.496","4.93M","-2.33%"
"07/29/2024","5.651","5.719","5.875","5.628","6.23M","-1.24%"
"07/28/2024","5.722","5.829","5.840","5.678","2.93M","-1.85%"
"07/27/2024","5.829","5.869","5.938","5.740","5.03M","-0.70%"
"07/26/2024","5.870","5.754","5.888","5.728","3.30M","2.01%"
"07/25/2024","5.755","5.748","5.777","5.550","14.15M","0.11%"
"07/24/2024","5.748","5.919","5.994","5.668","5.41M","-2.85%"
"07/23/2024","5.917","6.100","6.161","5.809","23.38M","-3.00%"
"07/22/2024","6.100","6.432","6.471","6.090","6.23M","-5.09%"
"07/21/2024","6.427","6.331","6.440","6.126","10.91M","1.52%"
"07/20/2024","6.331","6.338","6.392","6.227","3.99M","-0.09%"
"07/19/2024","6.337","6.093","6.346","5.998","6.38M","4.01%"
"07/18/2024","6.093","6.256","6.397","6.041","7.82M","-2.64%"
"07/17/2024","6.258","6.338","6.531","6.254","7.73M","-1.24%"
"07/16/2024","6.336","6.488","6.506","6.136","16.11M","-2.35%"
"07/15/2024","6.489","6.326","6.535","6.300","35.97M","2.59%"
"07/14/2024","6.325","6.208","6.350","6.147","9.62M","1.88%"
"07/13/2024","6.208","6.097","6.266","6.070","4.64M","1.85%"
"07/12/2024","6.096","5.905","6.099","5.808","9.18M","3.22%"
"07/11/2024","5.905","6.099","6.235","5.899","101.05M","-3.18%"
"07/10/2024","6.099","6.117","6.257","6.056","101.19M","-0.28%"
"07/09/2024","6.117","5.943","6.176","5.849","14.48M","2.92%"
"07/08/2024","5.943","5.906","6.290","5.709","13.08M","0.62%"
"07/07/2024","5.906","6.242","6.307","5.887","11.17M","-5.38%"
"07/06/2024","6.242","5.681","6.307","5.637","23.76M","10.03%"
"07/05/2024","5.673","5.554","5.914","4.953","165.67M","2.14%"
"07/04/2024","5.554","6.081","6.133","5.551","13.80M","-8.61%"
"07/03/2024","6.078","6.533","6.544","6.001","9.52M","-6.96%"
"07/02/2024","6.533","6.332","6.603","6.314","11.29M","3.15%"
